date,precipitation,windSpeed
19/7/2017,12.6,17
20/7/2017,2,25
21/7/2017,0.2,29.7
22/7/2017,3.3,20
23/7/2017,46.5,26
24/7/2017,3.3,19.9
25/7/2017,0.4,15
26/7/2017,0,10.8
27/7/2017,0.4,28.6
28/7/2017,0,23.2
29/7/2017,0,17.8
30/7/2017,0,24.3
31/7/2017,0,38.8
1/8/2017,5.9,30.7
2/8/2017,14.8,15.5
3/8/2017,66.7,6.2
4/8/2017,19.3,11.2
5/8/2017,0.9,7.1
6/8/2017,0,19.1
7/8/2017,6.9,24.6
8/8/2017,1.9,33.1
9/8/2017,14.3,35.4
10/8/2017,11.1,30.5
11/8/2017,3.5,23.2
12/8/2017,0,24.7
13/8/2017,0,22.5
14/8/2017,0.4,23.5
15/8/2017,0.2,17.7
16/8/2017,0.4,9.4
17/8/2017,0,6.3
18/8/2017,0,6.5
19/8/2017,0,7.6
20/8/2017,0,13.6
21/8/2017,0,19.2
22/8/2017,2,14.9
23/8/2017,67.1,59.7
24/8/2017,0.4,23.6
25/8/2017,0.1,18.6
26/8/2017,6.3,28.3
27/8/2017,165.3,62
28/8/2017,98.3,17.1
29/8/2017,0,11.8
30/8/2017,0.4,9.9
31/8/2017,4.1,6.7
1/9/2017,6.5,10.3
2/9/2017,1,10.5
3/9/2017,23.8,24.7
4/9/2017,32.8,38.8
5/9/2017,6.4,12.3
6/9/2017,0.4,7.2
7/9/2017,1.8,6.8
8/9/2017,1.1,6.8
9/9/2017,25.8,9.9
10/9/2017,0.4,11
11/9/2017,0,8
12/9/2017,0.6,7.8
13/9/2017,0,33.3
14/9/2017,0,36
15/9/2017,0.4,15.2
16/9/2017,0,15.3
17/9/2017,0,9.8
18/9/2017,0,14.5
19/9/2017,0,16.2
20/9/2017,0.2,15
21/9/2017,0.4,13.3
22/9/2017,17.9,24.2
23/9/2017,33.4,30.3
24/9/2017,5.6,39.8
25/9/2017,0.5,26.3
26/9/2017,0,9.8
27/9/2017,0,6
28/9/2017,0,7.6
29/9/2017,0.4,21.1
30/9/2017,35,34.7
1/10/2017,6.6,28.5
2/10/2017,3.6,21.6
3/10/2017,0,18.8
4/10/2017,9.5,35.7
